,ETFull,LAIFull,AlbedoFull,PrecFull,ET%,LAI%,Albedo%,Prec%,ET,LAI,Albedo,Prec
ND1,626.5005723759632,0.17188234448866346,0.14944195500793697,1110.9419439175474,631.8301858548607,0.16545936673888367,0.15004560576362413,1039.1520673400637,0.8506957078563046,-3.736845554956588,0.40393660244547963,-6.4620727456134155
ND2,615.1466967699148,0.17375720936174968,0.16104666007189508,788.5129718437248,472.0928902830014,0.15124289730547735,0.1603545517468885,647.3056359210884,-23.25523444051269,-12.95733980706331,-0.4297563977406302,-17.908054903961965
ND3,470.71673758816183,0.13930115030620896,0.16519897655405946,666.1109027041667,354.455529783144,0.11410701074859958,0.1662456085864334,511.9683600454704,-24.69876223240159,-18.086095845029373,0.6335584240326273,-23.140672526591892
ND4,417.859839560949,0.21718544971158346,0.14903115718592466,538.4885529166302,326.45821759080127,0.20478694533116532,0.15055333940917237,478.8788529796416,-21.873751271762483,-5.708717778692371,1.0213852270828856,-11.069817475993306
ND5,592.6234803684326,0.13229322096904558,0.1628527398444959,596.6792306113095,487.18541897057185,0.11696286743550205,0.16365305122149837,497.98698366443836,-17.791745499572546,-11.58816258403035,0.49143255297189387,-16.5402517606921
ND6+CERN,598.3707414286596,0.17400749911935945,0.16495749149758687,802.5608007469972,440.1818820141046,0.1597152956985079,0.16792512448600994,670.8223971865309,-26.43659665525524,-8.213556020966601,1.7990289264713244,-16.414756793235917
BA1+BA2,532.5016905733202,0.15182893702974473,0.16072847791613531,592.4476393427523,508.6497588731943,0.14224815984732986,0.16126686656502165,577.5352006222109,-4.479221779454933,-6.310244522450887,0.33496780151632743,-2.5170897359106448
PI1+PI2,674.2399376080851,0.1906223764766828,0.14885959833361154,853.5809321016873,585.6310221186664,0.1841544336942036,0.14863920591360874,785.9677870855407,-13.142044923023297,-3.3930658624804027,-0.14805388599052335,-7.921117081384352
